,Name,Occurences,Length of lyrics,Avg words per song,Vocabulary,Unique words per song
0,Alabama,240,52941,220.5875,2721,11.3375
1,Aretha Franklin,286,71985,251.6958041958042,2605,9.108391608391608
2,2pac,318,185165,582.2798742138365,6102,19.18867924528302
3,ABBA,125,34253,274.024,2649,21.192
4,AC DC,194,38799,199.99484536082474,2148,11.072164948453608
5,Adele,56,16547,295.48214285714283,1076,19.214285714285715
6,Aerosmith,215,53110,247.02325581395348,3095,14.395348837209303
7,Barbra Streisand,462,94785,205.16233766233765,4571,9.893939393939394
8,Barry Manilow,359,72420,201.72701949860723,3107,8.654596100278551
9,Barry White,68,20565,302.4264705882353,1049,15.426470588235293
10,Beach Boys,332,75451,227.2620481927711,3599,10.840361445783133
11,The Beatles,294,54372,184.9387755102041,2434,8.27891156462585
12,Bee Gees,279,61794,221.48387096774192,2145,7.688172043010753
13,Beyonce,160,64824,405.15,3194,19.9625
14,Billy Joel,124,32830,264.758064516129,2447,19.733870967741936
15,Black Eyed Peas,112,56732,506.5357142857143,4041,36.080357142857146
16,Bob Dylan,471,128520,272.86624203821657,5627,11.94692144373673
17,Bob Marley,106,29544,278.7169811320755,1890,17.830188679245282
18,Bon Jovi,264,78063,295.6931818181818,2660,10.075757575757576
19,Bruce Springsteen,330,91363,276.8575757575758,4152,12.581818181818182
20,Bruno Mars,62,21547,347.53225806451616,1305,21.048387096774192
21,Bryan Adams,197,41230,209.28934010152284,2305,11.700507614213198
22,The Carpenters,152,25146,165.43421052631578,1778,11.697368421052632
23,Celine Dion,185,49411,267.0864864864865,2350,12.702702702702704
24,Cher,298,68019,228.251677852349,2587,8.681208053691275
25,Chicago,261,44670,171.1494252873563,2286,8.758620689655173
26,Coldplay,142,26228,184.70422535211267,1673,11.78169014084507
27,David Bowie,322,65097,202.16459627329192,4092,12.70807453416149
28,Def Leppard,171,44739,261.63157894736844,2259,13.210526315789474
29,Dire Straits,55,12719,231.25454545454545,1634,29.70909090909091
30,Donna Summer,190,46510,244.78947368421052,2137,11.24736842105263
31,The Doors,108,20552,190.2962962962963,1869,17.305555555555557
32,Eagles,92,20992,228.17391304347825,1688,18.347826086956523
33,"Earth, Wind & Fire",182,36516,200.63736263736263,2081,11.434065934065934
34,Elton John,407,77950,191.52334152334151,4002,9.832923832923832
35,Elvis Presley,644,106355,165.1475155279503,3579,5.557453416149069
36,Enya,63,9095,144.36507936507937,881,13.984126984126984
37,Fleetwood Mac,222,39405,177.5,1789,8.058558558558559
38,Flo Rida,78,39366,504.6923076923077,2937,37.65384615384615
39,Foreigner,94,25674,273.1276595744681,1312,13.957446808510639
40,Frank Sinatra,676,99562,147.2810650887574,4182,6.186390532544379
41,Garth Brooks,189,45765,242.14285714285714,2741,14.502645502645503
42,Genesis,187,48175,257.620320855615,2988,15.97860962566845
43,George Michael,85,23146,272.3058823529412,1507,17.729411764705883
44,George Strait,340,61656,181.34117647058824,2837,8.344117647058823
45,Guns N' Roses,96,27302,284.3958333333333,2047,21.322916666666668
46,James Taylor,221,47362,214.30769230769232,2914,13.18552036199095
47,Janet Jackson,199,56464,283.7386934673367,2588,13.00502512562814
48,Johnny Cash,783,173375,221.42401021711368,5890,7.52234993614304
49,Journey,160,29278,182.9875,1686,10.5375
50,Justin Timberlake,82,40529,494.2560975609756,1870,22.804878048780488
51,Jay Z,282,166307,589.7411347517731,8475,30.0531914893617
52,Katy Perry,106,34640,326.79245283018867,2284,21.547169811320753
53,Kenny G,32,9791,305.96875,1564,48.875
54,Kenny Rogers,363,72452,199.5922865013774,2843,7.8319559228650135
55,Kiss,220,50695,230.4318181818182,2093,9.513636363636364
56,Led Zeppelin,85,19897,234.08235294117648,1633,19.211764705882352
57,Linda Ronstadt,232,40158,173.0948275862069,2208,9.517241379310345
58,Linkin Park,164,49050,299.0853658536585,2661,16.225609756097562
59,Lionel Richie,111,29947,269.7927927927928,1291,11.63063063063063
60,Kanye West,158,83646,529.4050632911392,5524,34.962025316455694
61,Madonna,274,78809,287.6240875912409,3381,12.33941605839416
62,Mariah Carey,220,67235,305.6136363636364,3121,14.186363636363636
63,Maroon 5,102,34066,333.98039215686276,1554,15.235294117647058
64,Meat Loaf,153,54260,354.640522875817,2506,16.37908496732026
65,Metallica,155,39204,252.92903225806452,2610,16.838709677419356
66,Michael Jackson,212,69775,329.12735849056605,2792,13.169811320754716
67,Neil Diamond,485,94054,193.92577319587627,3218,6.635051546391753
68,Backstreet Boys,181,56981,314.8121546961326,2033,11.232044198895027
69,Nirvana,102,17280,169.41176470588235,1710,16.764705882352942
70,Paul McCartney,405,79317,195.84444444444443,3187,7.869135802469136
71,Phil Collins,121,31178,257.6694214876033,1327,10.96694214876033
72,Pink Floyd,137,19994,145.94160583941607,2275,16.605839416058394
73,The Police,56,11539,206.05357142857142,1324,23.642857142857142
74,Prince,450,144388,320.8622222222222,5048,11.217777777777778
75,Queen,181,39616,218.87292817679557,2528,13.966850828729282
76,Reba McEntire,321,71551,222.90031152647975,2417,7.529595015576324
77,Red Hot Chili Peppers,229,59360,259.2139737991266,3980,17.37991266375546
78,R E M ,205,44255,215.8780487804878,3089,15.06829268292683
79,Rihanna,145,56587,390.2551724137931,2442,16.841379310344827
80,R  Kelly,316,147974,468.2721518987342,5402,17.09493670886076
81,Robbie Williams,238,66985,281.4495798319328,3712,15.596638655462185
82,Rod Stewart,354,81468,230.135593220339,3557,10.048022598870057
83,The Rolling Stones,350,75038,214.3942857142857,3443,9.837142857142856
84,Santana,150,25573,170.48666666666668,1908,12.72
85,Shania Twain,94,23860,253.82978723404256,1637,17.414893617021278
86,Simon & Garfunkel,77,13428,174.3896103896104,1892,24.571428571428573
87,Stevie Wonder,287,77922,271.50522648083626,3189,11.111498257839722
88,Tina Turner,87,19673,226.1264367816092,1482,17.03448275862069
89,Tom Petty,197,32741,166.1979695431472,2091,10.614213197969542
90,U2,218,49467,226.91284403669724,2787,12.784403669724771
91,Usher,166,69174,416.71084337349396,2885,17.379518072289155
92,Van Halen,119,28184,236.8403361344538,2156,18.11764705882353
93,Whitney Houston,105,29886,284.62857142857143,1568,14.933333333333334
94,The Who,177,38112,215.32203389830508,2698,15.242937853107344
95,Nicki Minaj,191,85979,450.151832460733,5912,30.952879581151834
96,Ed Sheeran,148,53774,363.3378378378378,3055,20.64189189189189
97,Justin Bieber,141,52967,375.65248226950354,2429,17.22695035460993
98,Pink,129,45006,348.8837209302326,2324,18.015503875968992
99,Lady Gaga,173,53447,308.9421965317919,2975,17.196531791907514
100,Lil Wayne,565,325010,575.2389380530974,11498,20.350442477876108
101,Chris Brown,509,229487,450.85854616895875,6229,12.237721021611002
102,Britney Spears,198,66912,337.93939393939394,2404,12.141414141414142
103,Eminem,301,223566,742.7441860465116,10178,33.81395348837209
104,Taylor Swift,208,67811,326.0144230769231,2402,11.548076923076923
105,Olivia Newton John,318,61067,192.03459119496856,2565,8.066037735849056
